lr,hidden1,concat,batch_size,epochs,micro_F1,macro_F1,precision,recall,f1
0.01,4,1,128,1,74.9±10.2,70.37±17.76,62.29±31.45,59.17±30.91,60.49±30.83
0.01,8,1,128,1,80.98±3.06,80.74±3.12,76.74±3.2,80.91±5.61,78.7±3.68
0.02,4,1,128,1,76.67±7.88,73.64±11.43,85.24±7.59,55.44±19.1,65.19±18.4
0.01,4,2,128,1,77.9±2.19,77.52±2.26,74.68±2.4,74.61±3.74,74.61±2.73
0.01,4,2,256,1,66.22±11.26,61.78±15.35,68.51±12.63,62.99±24.51,60.44±11.73
0.01,4,1,128,10,95.08±1.27,95.03±1.27,92.41±2.66,96.76±0.48,94.51±1.31
0.01,8,1,128,10,95.59±0.34,95.53±0.34,93.22±0.71,96.93±0.2,95.04±0.36
0.02,4,1,128,10,96.38±0.46,96.33±0.46,95.12±1.17,96.68±0.45,95.89±0.5
0.01,4,2,128,10,96.02±0.55,95.95±0.55,95.8±1.88,95.1±1.77,95.42±0.61
0.01,4,2,256,10,94.9±0.97,94.84±0.96,92.59±2.6,96.1±1.19,94.28±0.96
0.01,4,1,128,5,95.33±1.05,95.27±1.06,93.99±1.85,95.44±1.26,94.69±1.17
